GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.banksim,BankSimServerDB.SimpleLoginHandler,207,0,14,0,48,0,10,0,3,0
JaCoCo Coverage Report,com.banksim,BankSimServerSimple.StaticFileHandler,90,0,8,0,25,0,6,0,2,0
JaCoCo Coverage Report,com.banksim,BankSimServerSimple.StatusHandler,34,0,0,0,9,0,2,0,2,0
JaCoCo Coverage Report,com.banksim,BankSimServerDB.StatusHandler,63,0,0,0,17,0,2,0,2,0
JaCoCo Coverage Report,com.banksim,BankSimServer,234,0,0,0,75,0,3,0,3,0
JaCoCo Coverage Report,com.banksim,BankSimServerDB.UsersHandler,120,0,4,0,25,0,4,0,2,0
JaCoCo Coverage Report,com.banksim,BankSimServerSimple,135,0,0,0,45,0,3,0,3,0
JaCoCo Coverage Report,com.banksim,BankSimServerDB,171,0,2,0,49,0,6,0,5,0
JaCoCo Coverage Report,com.banksim,BankSimServerDB.DBTestHandler,77,0,2,0,19,0,3,0,2,0
JaCoCo Coverage Report,com.banksim,BankSimServerDB.StaticFileHandler,114,0,24,0,25,0,15,0,3,0
JaCoCo Coverage Report,com.banksim.repository,CustomerRepository,568,0,50,0,129,0,37,0,12,0
JaCoCo Coverage Report,com.banksim.repository,AccountRepository,535,0,40,0,125,0,33,0,13,0
JaCoCo Coverage Report,com.banksim.repository,TransactionRepository,499,0,36,0,119,0,30,0,12,0
JaCoCo Coverage Report,com.banksim.repository,UserRepository,649,0,56,0,155,0,45,0,17,0
JaCoCo Coverage Report,com.banksim.config,DatabaseConfig,103,0,6,0,33,0,11,0,8,0
JaCoCo Coverage Report,com.banksim.config,SecurityConfig,113,156,8,8,27,35,17,6,9,6
JaCoCo Coverage Report,com.banksim.util,PasswordUtil,308,0,50,0,67,0,35,0,10,0
JaCoCo Coverage Report,com.banksim.util,JwtUtil,364,0,28,0,80,0,30,0,16,0
JaCoCo Coverage Report,com.banksim.util,ValidationUtil,175,198,68,48,41,46,53,27,11,11
JaCoCo Coverage Report,com.banksim.test,TestConnection,95,0,4,0,29,0,4,0,2,0
JaCoCo Coverage Report,com.banksim.model,Customer,139,0,0,0,54,0,30,0,30,0
JaCoCo Coverage Report,com.banksim.model,Transaction.TransactionStatus,27,0,0,0,5,0,1,0,1,0
JaCoCo Coverage Report,com.banksim.model,AuditLog,107,0,0,0,40,0,23,0,23,0
JaCoCo Coverage Report,com.banksim.model,Transaction,175,0,8,0,59,0,37,0,33,0
JaCoCo Coverage Report,com.banksim.model,Account.AccountStatus,21,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,com.banksim.model,User,172,0,6,0,59,0,35,0,32,0
JaCoCo Coverage Report,com.banksim.model,Transaction.TransactionType,39,0,0,0,7,0,1,0,1,0
JaCoCo Coverage Report,com.banksim.model,Account.AccountType,21,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,com.banksim.model,Account,220,0,10,0,72,0,38,0,33,0
JaCoCo Coverage Report,com.banksim.model,User.Role,21,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,com.banksim.service,AuthenticationService.AuthenticationException,4,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,com.banksim.service,AccountService,286,0,18,0,69,0,20,0,11,0
JaCoCo Coverage Report,com.banksim.service,AccountService.AccountServiceException,4,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,com.banksim.service,ValidationTestService,14,495,17,17,0,126,17,15,0,15
JaCoCo Coverage Report,com.banksim.service,AuthenticationService,523,0,44,0,115,0,30,0,8,0
